Filter,Assessment,Data Type
No Dispute Arises,False Negatives,Values,
No Dispute Arises,False Negatives,Probabilities,
P Doesn't File,False Negatives,Values,1,0
P Doesn't File,False Negatives,Probabilities,0.09535598314705927,0.0953583048835471
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.3319817186518169,0.32225237547027025
Settles,False Negatives,Values,1.5,1.4,1.3,1.2,1.1,1,0.9,0.7999999999999999,0.7,0
Settles,False Negatives,Probabilities,0.0006671540846165229,0.0008051121309997814,0.0015882399249543945,0.0018779142193073878,0.0067859214818495744,0.007334268262138649,0.010319491802236565,0.003693830039411577,0.0027785995322949313,0.04569205807197782
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.009340450801731997,0.015185455362412684
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.016415403402671537,0.013000051294401986
P Loses,False Negatives,Values,2.8,0
P Loses,False Negatives,Probabilities,0.0018739446295263265,0.0066342560847352985
P Wins,False Negatives,Values,0,0
P Wins,False Negatives,Probabilities,0.001883585782169831,0.00917588093985981
No Dispute Arises,False Positives,Values,
No Dispute Arises,False Positives,Probabilities,
P Doesn't File,False Positives,Values,0,0
P Doesn't File,False Positives,Probabilities,0.0953583048835471,0.09535598314705927
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.32225237547027025,0.3319817186518169
Settles,False Positives,Values,1.2,1.1,1,0.8999999999999999,0.8,0.7,0.6,0.5,0.4,0.19999999999999996,0.10000000000000009,0
Settles,False Positives,Probabilities,0.0023172553817151138,0.0024101262091657744,0.011324720569664291,0.011848164150782508,0.012642165751884926,0.001977854603116373,0.0017153268800304902,0.0007477679187502722,0.0007086766068680349,0.0027785995322949313,0.003693830039411577,0.02937810190610282
P Abandons,False Positives,Values,0.3,0
P Abandons,False Positives,Probabilities,0.015185455362412684,0.009340450801731997
D Defaults,False Positives,Values,1.3,0.30000000000000004
D Defaults,False Positives,Probabilities,0.013000051294401986,0.016415403402671537
P Loses,False Positives,Values,0,0
P Loses,False Positives,Probabilities,0.0066342560847352985,0.0018739446295263265
P Wins,False Positives,Values,2.8,1.7999999999999998
P Wins,False Positives,Probabilities,0.001883585782169831,0.00917588093985981
No Dispute Arises,Total Expenditures,Values,
No Dispute Arises,Total Expenditures,Probabilities,
P Doesn't File,Total Expenditures,Values,0,0
P Doesn't File,Total Expenditures,Probabilities,0.0953583048835471,0.09535598314705927
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.32225237547027025,0.3319817186518169
Settles,Total Expenditures,Values,0.9,0.9,0.8999999999999999,0.8999999999999999
Settles,Total Expenditures,Probabilities,0.0270856891375831,0.021466397408114235,0.018606368934394796,0.014384134069695163
P Abandons,Total Expenditures,Values,0.8999999999999999,0.8999999999999999
P Abandons,Total Expenditures,Probabilities,0.015185455362412684,0.009340450801731997
D Defaults,Total Expenditures,Values,0.9,0.9
D Defaults,Total Expenditures,Probabilities,0.013000051294401986,0.016415403402671537
P Loses,Total Expenditures,Values,1.7999999999999998,1.7999999999999998
P Loses,Total Expenditures,Probabilities,0.0066342560847352985,0.0018739446295263265
P Wins,Total Expenditures,Values,1.7999999999999998,1.7999999999999998
P Wins,Total Expenditures,Probabilities,0.001883585782169831,0.00917588093985981
