"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","All",1,0,1,0.499995,0.852174,0.852174,1,1,0.569383,0.565028,,,0.673523,,,,,0.0666669,0.0793042,0.03268,0.492882,10.3577,9.4432,19.8009,0.199092,1000.06,999.379,0.199092,0.159961,0.205968,0.36593,0.110892,0.132754,0,0.199092,0,0.673523,0.581279,0.0666669,0.0793042,0,0.499994,0,7.5023E-06,0.852174,0.852174,0.147826,0,0.673523,0.0666669,0.0793042,0.0165726,0.0161074
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","DisputeArises",1,0,1,0.499995,0.852174,0.852174,1,1,0.569383,0.565028,,,0.673523,,,,,0.0666669,0.0793042,0.03268,0.492882,10.3577,9.4432,19.8009,0.199092,1000.06,999.379,0.199092,0.159961,0.205968,0.36593,0.110892,0.132754,0,0.199092,0,0.673523,0.581279,0.0666669,0.0793042,0,0.499994,0,7.5023E-06,0.852174,0.852174,0.147826,0,0.673523,0.0666669,0.0793042,0.0165726,0.0161074
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","PFiles",0.8522,0,0.852174,0.555626,1,1,1,1,0.569383,0.565028,,,0.790358,,,,,0.0782316,0.0930611,0.038349,0.492882,10.4198,9.34661,19.7664,0.233629,1000.08,999.271,0.233629,0.18771,0.223447,0.411157,0.130129,0.137532,0,0.233629,0,0.790358,0.581279,0.0782316,0.0930611,0,0.568477,0,0.13989,1,1,0,0,0.790358,0.0782316,0.0930611,0.0194474,0.0189015
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","DAnswers",0.8522,0,0.852174,0.555626,1,1,1,1,0.569383,0.565028,,,0.790358,,,,,0.0782316,0.0930611,0.038349,0.492882,10.4198,9.34661,19.7664,0.233629,1000.08,999.271,0.233629,0.18771,0.223447,0.411157,0.130129,0.137532,0,0.233629,0,0.790358,0.581279,0.0782316,0.0930611,0,0.568477,0,0.13989,1,1,0,0,0.790358,0.0782316,0.0930611,0.0194474,0.0189015
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","Litigated",0.8522,0,0.852174,0.555626,1,1,1,1,0.569383,0.565028,,,0.790358,,,,,0.0782316,0.0930611,0.038349,0.492882,10.4198,9.34661,19.7664,0.233629,1000.08,999.271,0.233629,0.18771,0.223447,0.411157,0.130129,0.137532,0,0.233629,0,0.790358,0.581279,0.0782316,0.0930611,0,0.568477,0,0.13989,1,1,0,0,0.790358,0.0782316,0.0930611,0.0194474,0.0189015
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","Not Litigated",0.1478,0,0.147826,0.179301,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,20,0,1000,1000,0,0,0.105207,0.105207,0,0.105207,0,0,0,0,,0,0,0,0.105207,0,-0.80637,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","Settles",0.6735,0,0.673523,0.568858,1,1,1,1,0.521281,0.641278,,,1,,,,,0,0,0,,10.4313,9.34372,19.775,0.225,1000.09,999.351,0.225,0.168298,0.227987,0.396286,0.0994565,0.119067,0,0.225,0,1,0.581279,0,0,0,0.584464,0,-0.252997,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","Tried",0.0327,0,0.0326799,0.495054,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.492882,10.3006,9.24942,19.55,0.45,999.907,997.849,0.45,0.471398,0.267946,0.739344,0.563908,0.408617,0,0.45,0,0,,0,0,0,0.492916,0,2.49288,1,1,0,0,0,0,0,0.507118,0.492882
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1.5 Moderately Risk Averse Relative Costs 2","1.1369999999999999E-13","7E-08","0","PWins",0.0161,0,0.0161074,0.597687,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.15,8.4,19.55,0.45,1000.17,995.609,0.45,0.95641,0,0.95641,1.1441,0,0,0.45,0,0,,0,0,0,0.64359,0,2.48555,1,1,0,0,0,0,0,0,1
