"OptionSet","Exploit","Refine","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","All",1,0,1,0.499995,0.748704,0.325762,1,1,0.717783,0.218904,,,0.116567,,,,,0.0356514,0.0562771,0.111987,0.33914,10.3105,9.36565,19.6761,0.32387,10.3105,9.36565,0.32387,0.211133,0.217495,0.428627,0.244674,0.172864,0,0.32387,0,0.116567,0.411533,0.0382911,0.0589168,0.00527942,0.499994,0,7.5023E-06,0.748704,0.325762,0.251296,0.422942,0.116567,0.0356514,0.0562771,0.0740076,0.0379792
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","DisputeArises",1,0,1,0.499995,0.748704,0.325762,1,1,0.717783,0.218904,,,0.116567,,,,,0.0356514,0.0562771,0.111987,0.33914,10.3105,9.36565,19.6761,0.32387,10.3105,9.36565,0.32387,0.211133,0.217495,0.428627,0.244674,0.172864,0,0.32387,0,0.116567,0.411533,0.0382911,0.0589168,0.00527942,0.499994,0,7.5023E-06,0.748704,0.325762,0.251296,0.422942,0.116567,0.0356514,0.0562771,0.0740076,0.0379792
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","PFiles",0.7487,0,0.748704,0.597735,1,0.435101,1,1,0.717783,0.218904,,,0.155692,,,,,0.0476175,0.075166,0.149574,0.33914,10.4147,9.15274,19.5674,0.432574,10.4147,9.15274,0.432574,0.281998,0.244246,0.526243,0.326797,0.184636,0,0.432574,0,0.155692,0.411533,0.0511432,0.0786917,0.00705141,0.621564,0,0.218809,1,0.435101,0,0.564899,0.155692,0.0476175,0.075166,0.0988477,0.0507267
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","DAnswers",0.3258,0,0.325762,0.397381,1,1,1,1,0.717783,0.218904,,,0.357829,,,,,0.10944,0.172755,0.343769,0.33914,10.0443,9.35104,19.3953,0.604696,10.0443,9.35104,0.604696,0.412425,0.242567,0.654992,0.515387,0.328715,0,0.604696,0,0.357829,0.411533,0.117543,0.180858,0.0162064,0.365929,0,0.899442,1,1,0,0,0.357829,0.10944,0.172755,0.227183,0.116586
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","Litigated",0.3258,0,0.325762,0.397381,1,1,1,1,0.717783,0.218904,,,0.357829,,,,,0.10944,0.172755,0.343769,0.33914,10.0443,9.35104,19.3953,0.604696,10.0443,9.35104,0.604696,0.412425,0.242567,0.654992,0.515387,0.328715,0,0.604696,0,0.357829,0.411533,0.117543,0.180858,0.0162064,0.365929,0,0.899442,1,1,0,0,0.357829,0.10944,0.172755,0.227183,0.116586
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","Not Litigated",0.6742,0,0.674238,0.549574,0.627288,0,1,1,,,,,0,,,,,0,0,0,,10.4391,9.37271,19.8118,0.188187,10.4391,9.37271,0.188187,0.113877,0.205381,0.319258,0.113877,0.0975642,0,0.188187,0,0,,0,0,0,0.564768,0,-0.434559,0.627288,0,0.372712,0.627288,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","Settles",0.1166,0,0.116567,0.368467,1,1,1,1,0.390772,0.432293,,,1,,,,,0,0,0,,10.1115,9.43847,19.55,0.45,10.1115,9.43847,0.45,0.305646,0.213475,0.519122,0.202225,0.179921,0,0.45,0,1,0.411533,0,0,0,0.331356,0,0.353639,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","Tried",0.112,0,0.111987,0.384037,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.33914,9.74698,9.35302,19.1,0.9,9.74698,9.35302,0.9,0.561422,0.318753,0.880175,1.0135,0.653443,0,0.9,0,0,,0,0,0,0.340175,0,1.74037,1,1,0,0,0,0,0,0.66086,0.33914
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Risk Neutral Relative Costs 2","8.882000000000001E-16","1.094E-10","1","PWins",0.038,0,0.0379792,0.531122,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.3,7.8,19.1,0.9,11.3,7.8,0.9,1.65543,0,1.65543,2.98845,0,0,0.9,0,0,,0,0,0,0.544572,0,1.84837,1,1,0,0,0,0,0,0,1
