"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","All",1,0,1,0.500003,1,1,1,1,0.480162,0.459981,,,0.884492,,,,,0.037516,0.00846291,0.069529,0.590406,10.4328,9.487,1000.08,999.475,0.0802147,0.130267,0.15269,0.282957,0.071141,0.0990107,0,0,0.884492,0.477065,0.037516,0.00846291,0,0.500004,0,-4.37299E-07,1,1,0,0,0.884492,0.037516,0.00846291,0.0284787,0.0410505
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","DisputeArises",1,0,1,0.500003,1,1,1,1,0.480162,0.459981,,,0.884492,,,,,0.037516,0.00846291,0.069529,0.590406,10.4328,9.487,1000.08,999.475,0.0802147,0.130267,0.15269,0.282957,0.071141,0.0990107,0,0,0.884492,0.477065,0.037516,0.00846291,0,0.500004,0,-4.37299E-07,1,1,0,0,0.884492,0.037516,0.00846291,0.0284787,0.0410505
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","PFiles",1,0,1,0.500003,1,1,1,1,0.480162,0.459981,,,0.884492,,,,,0.037516,0.00846291,0.069529,0.590406,10.4328,9.487,1000.08,999.475,0.0802147,0.130267,0.15269,0.282957,0.071141,0.0990107,0,0,0.884492,0.477065,0.037516,0.00846291,0,0.500004,0,-4.37299E-07,1,1,0,0,0.884492,0.037516,0.00846291,0.0284787,0.0410505
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","DAnswers",1,0,1,0.500003,1,1,1,1,0.480162,0.459981,,,0.884492,,,,,0.037516,0.00846291,0.069529,0.590406,10.4328,9.487,1000.08,999.475,0.0802147,0.130267,0.15269,0.282957,0.071141,0.0990107,0,0,0.884492,0.477065,0.037516,0.00846291,0,0.500004,0,-4.37299E-07,1,1,0,0,0.884492,0.037516,0.00846291,0.0284787,0.0410505
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","Litigated",1,0,1,0.500003,1,1,1,1,0.480162,0.459981,,,0.884492,,,,,0.037516,0.00846291,0.069529,0.590406,10.4328,9.487,1000.08,999.475,0.0802147,0.130267,0.15269,0.282957,0.071141,0.0990107,0,0,0.884492,0.477065,0.037516,0.00846291,0,0.500004,0,-4.37299E-07,1,1,0,0,0.884492,0.037516,0.00846291,0.0284787,0.0410505
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","Settles",0.8845,0,0.884492,0.500003,1,1,1,1,0.45804,0.49609,,,1,,,,,0,0,0,,10.4396,9.48544,1000.09,999.504,0.075,0.118878,0.141817,0.260695,0.0545804,0.0779261,0,0,1,0.477065,0,0,0,0.500004,0,-0.121244,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","Tried",0.0695,0,0.0695292,0.5384,1,1,1,1,0.807688,0.214344,,,0,,,,,0,0,1,0.590406,10.5357,9.31425,1000.06,998.931,0.15,0.301037,0.193383,0.49442,0.282468,0.229642,0,0,0,,0,0,0,0.562919,0,0.96843,1,1,0,0,0,0,0,0.409594,0.590406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.5,0.5","5.684E-14","762","PWins",0.0411,0,0.0410505,0.608393,1,1,1,1,0.855649,0.238734,,,0,,,,,0,0,1,1,11.0375,8.8125,1000.16,998.181,0.15,0.509882,0,0.509882,0.478431,0,0,0,0,,0,0,0,0.677618,0,1.00343,1,1,0,0,0,0,0,0,1
