"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","All",1,0,1,0.499999,0.584189,0.168466,1,1,0.250751,0.219965,,,0.122318,,,,,0.0381981,0.00495047,0.002999,0.761239,10.3631,9.52308,1000.06,999.454,0.113798,0.0731532,0.176552,0.249705,0.0569012,0.128244,0,0,0.122318,0.225154,0.0381981,0.00495047,0,0.5,0,-3.36759E-06,0.584189,0.168466,0.415811,0.415723,0.122318,0.0381981,0.00495047,0.00071608,0.0022831
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","DisputeArises",1,0,1,0.499999,0.584189,0.168466,1,1,0.250751,0.219965,,,0.122318,,,,,0.0381981,0.00495047,0.002999,0.761239,10.3631,9.52308,1000.06,999.454,0.113798,0.0731532,0.176552,0.249705,0.0569012,0.128244,0,0,0.122318,0.225154,0.0381981,0.00495047,0,0.5,0,-3.36759E-06,0.584189,0.168466,0.415811,0.415723,0.122318,0.0381981,0.00495047,0.00071608,0.0022831
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PFiles",0.5842,0,0.584189,0.71846,1,0.288376,1,1,0.250751,0.219965,,,0.209381,,,,,0.0653865,0.00847409,0.005134,0.761239,10.6216,9.18362,1000.11,999.065,0.194797,0.125222,0.229556,0.354778,0.0974022,0.146864,0,0,0.209381,0.225154,0.0653865,0.00847409,0,0.783227,0,0.0139182,1,0.288376,0,0.711624,0.209381,0.0653865,0.00847409,0.00122577,0.0039081
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","DAnswers",0.1685,0,0.168466,0.500002,1,1,1,1,0.250751,0.219965,,,0.726071,,,,,0.226741,0.0293856,0.017803,0.761239,10.0579,9.63673,1000.01,999.7,0.305341,0.182524,0.463633,0.646157,0.0860537,0.459421,0,0,0.726071,0.225154,0.226741,0.0293856,0,0.500004,0,0.0955314,1,1,0,0,0.726071,0.226741,0.0293856,0.00425059,0.0135521
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Litigated",0.1685,0,0.168466,0.500002,1,1,1,1,0.250751,0.219965,,,0.726071,,,,,0.226741,0.0293856,0.017803,0.761239,10.0579,9.63673,1000.01,999.7,0.305341,0.182524,0.463633,0.646157,0.0860537,0.459421,0,0,0.726071,0.225154,0.226741,0.0293856,0,0.500004,0,0.0955314,1,1,0,0,0.726071,0.226741,0.0293856,0.00425059,0.0135521
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Not Litigated",0.8315,0,0.831534,0.499999,0.499947,0,1,1,,,,,0,,,,,0,0,0,,10.425,9.50005,1000.08,999.404,0.074992,0.0509951,0.11839,0.169385,0.0509951,0.0611484,0,0,0,,0,0,0,0.499999,0,-0.0193584,0.499947,0,0.500053,0.499947,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Settles",0.1223,0,0.122318,0.497186,1,1,1,1,0.193176,0.257131,,,1,,,,,0,0,0,,10.0752,9.62485,1000.02,999.787,0.3,0.188739,0.457541,0.64628,0.0737455,0.425629,0,0,1,0.225154,0,0,0,0.49535,0,0.0264846,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Tried",0.003,0,0.00299914,0.604502,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.761239,10.6964,8.70365,999.973,995.45,0.6,0.778859,0.208926,0.987784,0.94802,0.36562,0,0,0,,0,0,0,0.672695,0,1.04084,1,1,0,0,0,0,0,0.238761,0.761239
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PWins",0.0023,0,0.00228306,0.637275,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.15,8.25,1000.17,994.008,0.6,1.02315,0,1.02315,1.24537,0,0,0,0,,0,0,0,0.726854,0,1.03486,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","DWins",0.0007,0,0.000716079,0.500014,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.25,10.15,999.35,1000.05,0.6,0,0.87504,0.87504,0,1.53132,0,0,0,,0,0,0,0.500023,0,1.0599,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Abandoned",0.0431,0,0.0431485,0.500721,1,1,1,1,0.368839,0.122946,,,0,,,,,0.885269,0.114731,0,,9.96473,9.73527,999.96,999.75,0.3,0.123454,0.498609,0.622063,0.0610319,0.561736,0,0,0,,0.885269,0.114731,0,0.501192,0,0.22556,1,1,0,0,0,0.885269,0.114731,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Rounds1",0.1685,0,0.168466,0.500002,1,1,1,1,0.250751,0.219965,,,0.726071,,,,,0.226741,0.0293856,0.017803,0.761239,10.0579,9.63673,1000.01,999.7,0.305341,0.182524,0.463633,0.646157,0.0860537,0.459421,0,0,0.726071,0.225154,0.226741,0.0293856,0,0.500004,0,0.0955314,1,1,0,0,0.726071,0.226741,0.0293856,0.00425059,0.0135521
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Truly Liable",0.5,0,0.5,0.716723,0.915105,0.168467,1,1,0.262061,0.222054,,,0.121181,,,,,0.0365408,0.00671067,0.004035,0.822526,10.6474,9.18886,1000.12,999.051,0.163746,0.0034958,0.353103,0.356599,0.00201788,0.256488,0,0,0.121181,0.226328,0.0365408,0.00671067,0,1,0,-1.68407E-06,0.915105,0.168467,0.0848947,0.746638,0.121181,0.0365408,0.00671067,0.00071611,0.0033189
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","Truly Not Liable",0.5,0,0.5,0.283276,0.253273,0.168465,1,1,0.239442,0.217876,,,0.123456,,,,,0.0398553,0.00319027,0.001963,0.635278,10.0789,9.8573,1000.01,999.857,0.0638496,0.14281,0,0.14281,0.111784,0,0,0,0.123456,0.224,0.0398553,0.00319027,0,0,0,-5.05111E-06,0.253273,0.168465,0.746727,0.0848082,0.123456,0.0398553,0.00319027,0.00071605,0.0012472
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Noise 0.25,0.25","2.2739999999999997E-13","962","AllCount",208,0,208,0.499999,121.511,35.0409,208,208,0.250751,0.219965,,,25.4422,,,,,7.9452,1.0297,0.623822,30.4496,10.3631,9.52308,1000.06,999.454,0.113798,0.0731532,0.176552,0.249705,0.0569012,0.128244,0,0,25.4422,0.225154,7.9452,1.0297,0,104,0,-3.36759E-06,121.511,35.0409,86.4888,86.4703,25.4422,7.9452,1.0297,0.148944,0.474877
