Filter,Assessment,Data Type
P Doesn't File,False Negatives,Values,
P Doesn't File,False Negatives,Probabilities,
D Doesn't Answer,False Negatives,Values,0.6,0
D Doesn't Answer,False Negatives,Probabilities,0.4860079209037201,0.46299986687545597
Settles,False Negatives,Values,1.5,0
Settles,False Negatives,Probabilities,0.003244971711524253,0.030449219476954618
P Abandons,False Negatives,Values,1.6,0
P Abandons,False Negatives,Probabilities,0.0033189914892143226,0.004594805826905006
D Defaults,False Negatives,Values,0.6,0
D Defaults,False Negatives,Probabilities,0.0017814833809106584,0.0007987306990368758
P Loses,False Negatives,Values,2.2,0
P Loses,False Negatives,Probabilities,0.00030319808485354847,0.0002620620352387865
P Wins,False Negatives,Values,1.2,0
P Wins,False Negatives,Probabilities,0.005347906146931788,0.0008908433692639139
P Doesn't File,False Positives,Values,
P Doesn't File,False Positives,Probabilities,
D Doesn't Answer,False Positives,Values,1,0
D Doesn't Answer,False Positives,Probabilities,0.46299986687545597,0.4860079209037201
Settles,False Positives,Values,0.7,0
Settles,False Positives,Probabilities,0.030449219476954618,0.003244971711524253
P Abandons,False Positives,Values,0.6,0
P Abandons,False Positives,Probabilities,0.004594805826905006,0.0033189914892143226
D Defaults,False Positives,Values,1.6,0.6000000000000001
D Defaults,False Positives,Probabilities,0.0007987306990368758,0.0017814833809106584
P Loses,False Positives,Values,1.2,0.19999999999999996
P Loses,False Positives,Probabilities,0.0002620620352387865,0.00030319808485354847
P Wins,False Positives,Values,2.2,1.2000000000000002
P Wins,False Positives,Probabilities,0.0008908433692639139,0.005347906146931788
P Doesn't File,Total Expenditures,Values,
P Doesn't File,Total Expenditures,Probabilities,
D Doesn't Answer,Total Expenditures,Values,0.6,0.6
D Doesn't Answer,Total Expenditures,Probabilities,0.46299986687545597,0.4860079209037201
Settles,Total Expenditures,Values,1.2,1.2
Settles,Total Expenditures,Probabilities,0.030449219476954618,0.003244971711524253
P Abandons,Total Expenditures,Values,1.2,1.2
P Abandons,Total Expenditures,Probabilities,0.004594805826905006,0.0033189914892143226
D Defaults,Total Expenditures,Values,1.2000000000000002,1.2000000000000002
D Defaults,Total Expenditures,Probabilities,0.0007987306990368758,0.0017814833809106584
P Loses,Total Expenditures,Values,2.4,2.4
P Loses,Total Expenditures,Probabilities,0.0002620620352387865,0.00030319808485354847
P Wins,Total Expenditures,Values,2.4000000000000004,2.4000000000000004
P Wins,Total Expenditures,Probabilities,0.0008908433692639139,0.005347906146931788
