"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","All",1,0,1,0.5,1,1,1,1,0.754834,0.229985,,,0.0692928,,,,,0,0,0.930707,0.4997,10.2102,9.21056,10.2102,9.21056,0.579212,0.468425,0.290533,0.758959,0.551952,0.444657,0,0,0.0692928,0.504009,0,0,0,0.5,0,-3.9756E-06,1,1,0,0,0.0692928,0,0,0.465633,0.465074
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","DisputeArises",1,0,1,0.5,1,1,1,1,0.754834,0.229985,,,0.0692928,,,,,0,0,0.930707,0.4997,10.2102,9.21056,10.2102,9.21056,0.579212,0.468425,0.290533,0.758959,0.551952,0.444657,0,0,0.0692928,0.504009,0,0,0,0.5,0,-3.9756E-06,1,1,0,0,0.0692928,0,0,0.465633,0.465074
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PFiles",1,0,1,0.5,1,1,1,1,0.754834,0.229985,,,0.0692928,,,,,0,0,0.930707,0.4997,10.2102,9.21056,10.2102,9.21056,0.579212,0.468425,0.290533,0.758959,0.551952,0.444657,0,0,0.0692928,0.504009,0,0,0,0.5,0,-3.9756E-06,1,1,0,0,0.0692928,0,0,0.465633,0.465074
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","DAnswers",1,0,1,0.5,1,1,1,1,0.754834,0.229985,,,0.0692928,,,,,0,0,0.930707,0.4997,10.2102,9.21056,10.2102,9.21056,0.579212,0.468425,0.290533,0.758959,0.551952,0.444657,0,0,0.0692928,0.504009,0,0,0,0.5,0,-3.9756E-06,1,1,0,0,0.0692928,0,0,0.465633,0.465074
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","Litigated",1,0,1,0.5,1,1,1,1,0.754834,0.229985,,,0.0692928,,,,,0,0,0.930707,0.4997,10.2102,9.21056,10.2102,9.21056,0.579212,0.468425,0.290533,0.758959,0.551952,0.444657,0,0,0.0692928,0.504009,0,0,0,0.5,0,-3.9756E-06,1,1,0,0,0.0692928,0,0,0.465633,0.465074
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","Settles",0.0693,0,0.0692928,0.506359,1,1,1,1,0.471898,0.53612,,,1,,,,,0,0,0,,10.354,9.34599,10.354,9.34599,0.3,0.300187,0.306481,0.606668,0.196986,0.198905,0,0,1,0.504009,0,0,0,0.507925,0,-1.67865,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","Tried",0.9307,0,0.930707,0.499527,1,1,1,1,0.775899,0.207193,,,0,,,,,0,0,1,0.4997,10.1995,9.20048,10.1995,9.20048,0.6,0.480951,0.289346,0.770297,0.57838,0.462954,0,0,0,,0,0,0,0.49941,0,0.124974,1,1,0,0,0,0,0,0.5003,0.4997
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PWins",0.4651,0,0.465074,0.610721,1,1,1,1,0.789337,0.219778,,,0,,,,,0,0,1,1,11,8.4,11,8.4,0.6,0.962479,0,0.962479,1.15745,0,0,0,0,,0,0,0,0.637521,0,0.125665,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","DWins",0.4656,0,0.465633,0.388466,1,1,1,1,0.762477,0.194622,,,0,,,,,0,0,1,0,9.4,10,9.4,10,0.6,0,0.578345,0.578345,0,0.925352,0,0,0,,0,0,0,0.361466,0,0.124285,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","Rounds1",1,0,1,0.5,1,1,1,1,0.754834,0.229985,,,0.0692928,,,,,0,0,0.930707,0.4997,10.2102,9.21056,10.2102,9.21056,0.579212,0.468425,0.290533,0.758959,0.551952,0.444657,0,0,0.0692928,0.504009,0,0,0,0.5,0,-3.9756E-06,1,1,0,0,0.0692928,0,0,0.465633,0.465074
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Risk Neutral Noise 2,2","-8.882000000000001E-16","495","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
