"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","All",1,0,1,0.5,1,1,1,1,0.496177,0.49623,,,0.726532,,,,,0.0342957,0.0168528,0.220836,0.502441,10.1196,9.14792,1000,998.883,0.732502,0.449514,0.417567,0.867081,0.389874,0.385581,0,0,0.726532,0.491757,0.0350377,0.0175949,0.00148413,0.5,0,-3.9756E-06,1,1,0,0,0.726532,0.0342957,0.0168528,0.109879,0.110957
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","DisputeArises",1,0,1,0.5,1,1,1,1,0.496177,0.49623,,,0.726532,,,,,0.0342957,0.0168528,0.220836,0.502441,10.1196,9.14792,1000,998.883,0.732502,0.449514,0.417567,0.867081,0.389874,0.385581,0,0,0.726532,0.491757,0.0350377,0.0175949,0.00148413,0.5,0,-3.9756E-06,1,1,0,0,0.726532,0.0342957,0.0168528,0.109879,0.110957
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","PFiles",1,0,1,0.5,1,1,1,1,0.496177,0.49623,,,0.726532,,,,,0.0342957,0.0168528,0.220836,0.502441,10.1196,9.14792,1000,998.883,0.732502,0.449514,0.417567,0.867081,0.389874,0.385581,0,0,0.726532,0.491757,0.0350377,0.0175949,0.00148413,0.5,0,-3.9756E-06,1,1,0,0,0.726532,0.0342957,0.0168528,0.109879,0.110957
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","DAnswers",1,0,1,0.5,1,1,1,1,0.496177,0.49623,,,0.726532,,,,,0.0342957,0.0168528,0.220836,0.502441,10.1196,9.14792,1000,998.883,0.732502,0.449514,0.417567,0.867081,0.389874,0.385581,0,0,0.726532,0.491757,0.0350377,0.0175949,0.00148413,0.5,0,-3.9756E-06,1,1,0,0,0.726532,0.0342957,0.0168528,0.109879,0.110957
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","Litigated",1,0,1,0.5,1,1,1,1,0.496177,0.49623,,,0.726532,,,,,0.0342957,0.0168528,0.220836,0.502441,10.1196,9.14792,1000,998.883,0.732502,0.449514,0.417567,0.867081,0.389874,0.385581,0,0,0.726532,0.491757,0.0350377,0.0175949,0.00148413,0.5,0,-3.9756E-06,1,1,0,0,0.726532,0.0342957,0.0168528,0.109879,0.110957
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","Settles",0.7265,0,0.726532,0.501882,1,1,1,1,0.444532,0.538982,,,1,,,,,0,0,0,,10.1918,9.20824,1000.06,999.262,0.6,0.391003,0.40273,0.793733,0.311039,0.326933,0,0,1,0.491757,0,0,0,0.502343,0,0.0721222,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","Tried",0.2208,0,0.220836,0.503853,1,1,1,1,0.623748,0.385223,,,0,,,,,0,0,1,0.502441,9.90244,8.89756,999.836,997.579,1.2,0.67064,0.485298,1.15594,0.690543,0.583072,0,0,0,,0,0,0,0.504774,0,0.107816,1,1,0,0,0,0,0,0.497559,0.502441
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Noise 2,2","1.1369999999999999E-13","509","PWins",0.111,0,0.110957,0.613898,1,1,1,1,0.616704,0.379162,,,0,,,,,0,0,1,1,10.4,8.4,1000.1,995.609,1.2,0.95845,0.38493,1.34338,1.14859,0.230958,0,0,0,,0,0,0,0.64155,0,0.10386,1,1,0,0,0,0,0,0,1
