"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","All",1,0,1,0.500003,0.575756,0.125582,1,1,0.443141,0.356314,,,0.0661722,,,,,0.0173385,0.0153053,0.003374,0.566928,10.3314,9.45618,1000.06,999.329,0.212426,0.117843,0.220309,0.338152,0.1102,0.140382,0,0,0.0661722,0.38954,0.0290346,0.0270013,0.0233921,0.500004,0,-4.37299E-07,0.575756,0.125582,0.424244,0.450174,0.0661722,0.0173385,0.0153053,0.00146127,0.0019129
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","DisputeArises",1,0,1,0.500003,0.575756,0.125582,1,1,0.443141,0.356314,,,0.0661722,,,,,0.0173385,0.0153053,0.003374,0.566928,10.3314,9.45618,1000.06,999.329,0.212426,0.117843,0.220309,0.338152,0.1102,0.140382,0,0,0.0661722,0.38954,0.0290346,0.0270013,0.0233921,0.500004,0,-4.37299E-07,0.575756,0.125582,0.424244,0.450174,0.0661722,0.0173385,0.0153053,0.00146127,0.0019129
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","PFiles",0.5758,0,0.575756,0.71233,1,0.218117,1,1,0.443141,0.356314,,,0.114931,,,,,0.0301143,0.0265829,0.00586,0.566928,10.5756,9.05546,1000.11,998.834,0.368951,0.204675,0.286293,0.490968,0.1914,0.147471,0,0,0.114931,0.38954,0.0504286,0.0468972,0.0406285,0.77208,0,0.101331,1,0.218117,0,0.781883,0.114931,0.0301143,0.0265829,0.002538,0.0033225
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","DAnswers",0.1256,0,0.125582,0.490464,1,1,1,1,0.443141,0.356314,,,0.526923,,,,,0.138065,0.121875,0.026868,0.566928,10.1296,9.25428,999.989,998.929,0.616121,0.40964,0.395777,0.805416,0.348777,0.401074,0,0,0.526923,0.38954,0.231199,0.215009,0.186269,0.483789,0,0.683363,1,1,0,0,0.526923,0.138065,0.121875,0.0116359,0.0152324
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","Litigated",0.1256,0,0.125582,0.490464,1,1,1,1,0.443141,0.356314,,,0.526923,,,,,0.138065,0.121875,0.026868,0.566928,10.1296,9.25428,999.989,998.929,0.616121,0.40964,0.395777,0.805416,0.348777,0.401074,0,0,0.526923,0.38954,0.231199,0.215009,0.186269,0.483789,0,0.683363,1,1,0,0,0.526923,0.138065,0.121875,0.0116359,0.0152324
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","Not Litigated",0.8744,0,0.874418,0.501373,0.514827,0,1,1,,,,,0,,,,,0,0,0,,10.3604,9.48517,1000.07,999.386,0.154448,0.0759355,0.195109,0.271044,0.0759355,0.102942,0,0,0,,0,0,0,0.502333,0,-0.0981438,0.514827,0,0.485173,0.514827,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","Settles",0.0662,0,0.0661722,0.483145,1,1,1,1,0.328648,0.450431,,,1,,,,,0,0,0,,10.0895,9.31046,1000.03,999.417,0.6,0.365172,0.429897,0.795069,0.260867,0.399686,0,0,1,0.38954,0,0,0,0.472003,0,0.466153,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","Tried",0.0034,0,0.00337419,0.532209,1,1,1,1,0.726333,0.191992,,,0,,,,,0,0,1,0.566928,10.0472,8.75276,999.282,991.49,1.2,0.856125,0.346988,1.20311,1.41414,0.763373,0,0,0,,0,0,0,0.548838,0,1.32437,1,1,0,0,0,0,0,0.433072,0.566928
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","PWins",0.0019,0,0.00191292,0.620635,1,1,1,1,0.780446,0.215988,,,0,,,,,0,0,1,1,11,7.8,1000.16,984.99,1.2,1.51011,0,1.51011,2.49439,0,0,0,0,,0,0,0,0.689887,0,1.28181,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1 Moderately Risk Averse Noise 0.5,0.5","0","1273","DWins",0.0015,0,0.00146127,0.416453,1,1,1,1,0.655494,0.160578,,,0,,,,,0,0,1,0,8.8,10,998.13,1000,1.2,0,0.801224,0.801224,0,1.76269,0,0,0,,0,0,0,0.364193,0,1.3801,1,1,0,0,0,0,0,1,0
