"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","All",1,0,1,0.500003,0.587449,0.172042,1,1,0.652753,0.321088,,,0.0596284,,,,,0.0441807,0.0449917,0.018745,0.48891,10.4089,9.47155,1000.07,999.364,0.119547,0.106025,0.153544,0.259569,0.0946945,0.101564,0,0,0.0596284,0.470898,0.0464292,0.0472402,0.00449695,0.500004,0,-4.37299E-07,0.587449,0.172042,0.412551,0.415406,0.0596284,0.0441807,0.0449917,0.00958019,0.0091644
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","DisputeArises",1,0,1,0.500003,0.587449,0.172042,1,1,0.652753,0.321088,,,0.0596284,,,,,0.0441807,0.0449917,0.018745,0.48891,10.4089,9.47155,1000.07,999.364,0.119547,0.106025,0.153544,0.259569,0.0946945,0.101564,0,0,0.0596284,0.470898,0.0464292,0.0472402,0.00449695,0.500004,0,-4.37299E-07,0.587449,0.172042,0.412551,0.415406,0.0596284,0.0441807,0.0449917,0.00958019,0.0091644
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PFiles",0.5874,0,0.587449,0.708104,1,0.292864,1,1,0.652753,0.321088,,,0.101504,,,,,0.0752077,0.0765883,0.031909,0.48891,10.6961,9.10044,1000.12,998.917,0.203502,0.180483,0.176893,0.357377,0.161196,0.0884102,0,0,0.101504,0.470898,0.0790352,0.0804158,0.00765506,0.766664,0,0.0993132,1,0.292864,0,0.707136,0.101504,0.0752077,0.0765883,0.0163081,0.0156004
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","DAnswers",0.172,0,0.172042,0.498282,1,1,1,1,0.652753,0.321088,,,0.346592,,,,,0.256801,0.261515,0.108954,0.48891,10.3244,9.34296,1000.05,999.181,0.332686,0.322348,0.285918,0.608266,0.25649,0.254167,0,0,0.346592,0.470898,0.26987,0.274584,0.0261386,0.497186,0,0.607095,1,1,0,0,0.346592,0.256801,0.261515,0.055685,0.0532685
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Litigated",0.172,0,0.172042,0.498282,1,1,1,1,0.652753,0.321088,,,0.346592,,,,,0.256801,0.261515,0.108954,0.48891,10.3244,9.34296,1000.05,999.181,0.332686,0.322348,0.285918,0.608266,0.25649,0.254167,0,0,0.346592,0.470898,0.26987,0.274584,0.0261386,0.497186,0,0.607095,1,1,0,0,0.346592,0.256801,0.261515,0.055685,0.0532685
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Not Litigated",0.828,0,0.827958,0.500361,0.501724,0,1,1,,,,,0,,,,,0,0,0,,10.4265,9.49828,1000.08,999.402,0.0752586,0.0610748,0.126038,0.187112,0.0610748,0.0698548,0,0,0,,0,0,0,0.50059,0,-0.12615,0.501724,0,0.498276,0.501724,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Settles",0.0596,0,0.0596284,0.496453,1,1,1,1,0.46156,0.480236,,,1,,,,,0,0,0,,10.3209,9.3791,1000.08,999.516,0.3,0.310222,0.331035,0.641257,0.200078,0.231103,0,0,1,0.470898,0,0,0,0.494188,0,0.0682802,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Tried",0.0187,0,0.0187446,0.49529,1,1,1,1,0.891185,0.103227,,,0,,,,,0,0,1,0.48891,10.1856,9.21442,999.935,998.4,0.6,0.448299,0.310898,0.759198,0.446461,0.390366,0,0,0,,0,0,0,0.492282,0,1.28263,1,1,0,0,0,0,0,0.51109,0.48891
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PWins",0.0092,0,0.00916444,0.581717,1,1,1,1,0.887907,0.102174,,,0,,,,,0,0,1,1,10.85,8.55,1000.15,996.796,0.6,0.816078,0.0950884,0.911166,0.898047,0.0142633,0,0,0,,0,0,0,0.633922,0,1.28465,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","DWins",0.0096,0,0.00958019,0.412613,1,1,1,1,0.894321,0.104234,,,0,,,,,0,0,1,0,9.55,9.85,999.728,999.935,0.6,0.0964818,0.517343,0.613825,0.0144723,0.750147,0,0,0,,0,0,0,0.356788,0,1.2807,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Abandoned",0.0937,0,0.0936693,0.500046,1,1,1,1,0.72675,0.263375,,,0,,,,,0.471667,0.480325,0,,10.3543,9.34567,1000.04,999.123,0.3,0.304862,0.252198,0.55706,0.254386,0.241594,0,0,0,,0.495671,0.504329,0.0480088,0.500075,0,0.81491,1,1,0,0,0,0.471667,0.480325,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Rounds1",0.1675,0,0.167545,0.498236,1,1,1,1,0.647894,0.327023,,,0.355894,,,,,0.263694,0.268534,0.111878,0.48891,10.3237,9.34277,1000.05,999.182,0.333563,0.32127,0.284869,0.606139,0.254199,0.251964,0,0,0.355894,0.470898,0.263694,0.268534,0,0.49711,0,0.623389,1,1,0,0,0.355894,0.263694,0.268534,0.0571796,0.0546982
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Truly Liable",0.5,0,0.500004,0.716729,0.900745,0.171073,1,1,0.682957,0.350624,,,0.0589349,,,,,0.0309452,0.0582406,0.018455,0.62958,10.6929,9.14078,1000.12,998.96,0.166309,0.0143894,0.307085,0.321474,0.00371822,0.203127,0,0,0.0589349,0.480144,0.0331936,0.0604891,0.00449692,1,0,4.7906E-06,0.900745,0.171073,0.099255,0.729672,0.0589349,0.0309452,0.0582406,0.00683614,0.011619
"FSA Costs Multiplier 1 Fee Shifting Multiplier 0.5 Moderately Risk Averse Noise 0.5,0.5","0","1464","Truly Not Liable",0.5,0,0.499996,0.283274,0.274148,0.173012,1,1,0.622887,0.291884,,,0.060322,,,,,0.0574164,0.0317426,0.019034,0.352517,10.1249,9.80234,1000.02,999.768,0.0727842,0.197662,0,0.197662,0.185672,0,0,0,0.060322,0.461865,0.0596649,0.033991,0.00449699,0,0,-5.66528E-06,0.274148,0.173012,0.725852,0.101135,0.060322,0.0574164,0.0317426,0.0123243,0.0067098
