"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","All",1,0,1,0.500003,0.587449,0.0483748,1,1,0.186199,0.1,,,0.0425955,,,,,0.000907072,0.0010365,0.003609,0.498866,10.1916,9.42253,10.1916,9.42253,0.385825,0.131467,0.333762,0.465229,0.130936,0.243429,0,0,0.0425955,0.1,0.00102046,0.00114989,0.000226781,0.500004,0,-4.37299E-07,0.587449,0.0483748,0.412551,0.539074,0.0425955,0.000907072,0.0010365,0.00180855,0.0018004
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","DisputeArises",1,0,1,0.500003,0.587449,0.0483748,1,1,0.186199,0.1,,,0.0425955,,,,,0.000907072,0.0010365,0.003609,0.498866,10.1916,9.42253,10.1916,9.42253,0.385825,0.131467,0.333762,0.465229,0.130936,0.243429,0,0,0.0425955,0.1,0.00102046,0.00114989,0.000226781,0.500004,0,-4.37299E-07,0.587449,0.0483748,0.412551,0.539074,0.0425955,0.000907072,0.0010365,0.00180855,0.0018004
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","PFiles",0.5874,0,0.587449,0.708104,1,0.0823473,1,1,0.186199,0.1,,,0.0725094,,,,,0.00154409,0.00176441,0.006143,0.498866,10.3262,9.01699,10.3262,9.01699,0.65678,0.223793,0.483675,0.707468,0.222889,0.329904,0,0,0.0725094,0.1,0.00173711,0.00195744,0.000386043,0.766664,0,0.0993132,1,0.0823473,0,0.917653,0.0725094,0.00154409,0.00176441,0.00307865,0.0030647
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","DAnswers",0.0484,0,0.0483748,0.39298,1,1,1,1,0.186199,0.1,,,0.880531,,,,,0.0187509,0.0214265,0.074603,0.498866,9.50418,9.2063,9.50418,9.2063,1.28952,0.559472,0.482305,1.04178,0.548488,0.77147,0,0,0.880531,0.1,0.0210949,0.0237705,0.00468799,0.324648,0,1.20601,1,1,0,0,0.880531,0.0187509,0.0214265,0.0373861,0.037217
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","Litigated",0.0484,0,0.0483748,0.39298,1,1,1,1,0.186199,0.1,,,0.880531,,,,,0.0187509,0.0214265,0.074603,0.498866,9.50418,9.2063,9.50418,9.2063,1.28952,0.559472,0.482305,1.04178,0.548488,0.77147,0,0,0.880531,0.1,0.0210949,0.0237705,0.00468799,0.324648,0,1.20601,1,1,0,0,0.880531,0.0187509,0.0214265,0.0373861,0.037217
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","Not Litigated",0.9516,0,0.951625,0.505444,0.566477,0,1,1,,,,,0,,,,,0,0,0,,10.2266,9.43352,10.2266,9.43352,0.339886,0.10971,0.326211,0.435921,0.10971,0.216587,0,0,0,,0,0,0,0.508918,0,-0.0613069,0.566477,0,0.433523,0.566477,0,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","Settles",0.0426,0,0.0425955,0.381607,1,1,1,1,0.1,0.1,,,1,,,,,0,0,0,,9.5,9.3,9.5,9.3,1.2,0.48579,0.459022,0.944812,0.340053,0.688532,0,0,1,0.1,0,0,0,0.306014,0,1.11818,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","Tried",0.0036,0,0.00360891,0.499524,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.498866,9.29751,8.30249,9.29751,8.30249,2.4,1.29235,0.816844,2.10919,2.79214,1.93859,0,0,0,,0,0,0,0.499214,0,2.03742,1,1,0,0,0,0,0,0.501134,0.498866
"FSA Costs Multiplier 4 Fee Shifting Multiplier 0.5 Risk Neutral Noise 0.5,0.5","-8.882000000000001E-16","632","PWins",0.0018,0,0.00180036,0.51776,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,10.4,7.2,10.4,7.2,2.4,2.27066,0.317605,2.58826,5.40503,0.190563,0,0,0,,0,0,0,0.529342,0,2.03523,1,1,0,0,0,0,0,0,1
