"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","All",1,0,1,0.499997,1,0.826756,1,1,0.520124,0.457262,,,0.669601,,,,,0,0.142113,0.015041,0.285206,10.4742,9.24725,1000.09,999.166,0.278526,0.365114,0.229175,0.59429,0.29304,0.161982,0,0,0.669601,0.462569,0,0.142113,0,0.499999,0,-8.5952E-06,1,0.826756,0,0.173244,0.669601,0,0.142113,0.010751,0.0042897
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","DisputeArises",1,0,1,0.499997,1,0.826756,1,1,0.520124,0.457262,,,0.669601,,,,,0,0.142113,0.015041,0.285206,10.4742,9.24725,1000.09,999.166,0.278526,0.365114,0.229175,0.59429,0.29304,0.161982,0,0,0.669601,0.462569,0,0.142113,0,0.499999,0,-8.5952E-06,1,0.826756,0,0.173244,0.669601,0,0.142113,0.010751,0.0042897
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","PFiles",1,0,1,0.499997,1,0.826756,1,1,0.520124,0.457262,,,0.669601,,,,,0,0.142113,0.015041,0.285206,10.4742,9.24725,1000.09,999.166,0.278526,0.365114,0.229175,0.59429,0.29304,0.161982,0,0,0.669601,0.462569,0,0.142113,0,0.499999,0,-8.5952E-06,1,0.826756,0,0.173244,0.669601,0,0.142113,0.010751,0.0042897
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","DAnswers",0.8268,0,0.826756,0.436161,1,1,1,1,0.520124,0.457262,,,0.809915,,,,,0,0.171893,0.018192,0.285206,10.3955,9.29906,1000.08,999.241,0.305458,0.367775,0.256844,0.624618,0.280597,0.192872,0,0,0.809915,0.462569,0,0.171893,0,0.469073,0,0.180105,1,1,0,0,0.809915,0,0.171893,0.0130038,0.0051886
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","Litigated",0.8268,0,0.826756,0.436161,1,1,1,1,0.520124,0.457262,,,0.809915,,,,,0,0.171893,0.018192,0.285206,10.3955,9.29906,1000.08,999.241,0.305458,0.367775,0.256844,0.624618,0.280597,0.192872,0,0,0.809915,0.462569,0,0.171893,0,0.469073,0,0.180105,1,1,0,0,0.809915,0,0.171893,0.0130038,0.0051886
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","Not Litigated",0.1732,0,0.173244,0.804635,1,0,1,1,,,,,0,,,,,0,0,0,,10.85,9,1000.15,998.808,0.15,0.352418,0.0971372,0.449556,0.352418,0.0145706,0,0,0,,0,0,0,0.647582,0,-0.859545,1,0,0,1,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","Settles",0.6696,0,0.669601,0.407432,1,1,1,1,0.430968,0.494171,,,1,,,,,0,0,0,,10.3126,9.38743,1000.08,999.456,0.3,0.316484,0.288714,0.605198,0.202887,0.215911,0,0,1,0.462569,0,0,0,0.455071,0,-0.133439,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","Tried",0.015,0,0.0150406,0.347131,1,1,1,1,0.9,0.3,,,0,,,,,0,0,1,0.285206,9.79189,9.60811,999.584,998.326,0.6,0.359694,0.499899,0.859593,0.524902,0.874823,0,0,0,,0,0,0,0.425073,0,2.66226,1,1,0,0,0,0,0,0.714794,0.285206
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.7","-2.2739999999999997E-13","1466","PWins",0.0043,0,0.00428968,0.477483,1,1,1,1,0.9,0.3,,,0,,,,,0,0,1,1,11.15,8.25,1000.17,994.008,0.6,1.26117,0,1.26117,1.84043,0,0,0,0,,0,0,0,0.488827,0,2.87335,1,1,0,0,0,0,0,0,1
