"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","All",1,0,1,0.5,0.655198,0.262479,1,1,0.551951,0.300331,,,0.147384,,,,,0.0357076,0.0391435,0.007385,0.462326,10.408,9.45213,1000.07,999.341,0.139867,0.0729472,0.105867,0.178815,0.0453817,0.0439205,0,0,0.147384,0.37949,0.0521366,0.0555725,0.032858,0.499999,0,2.6764E-06,0.655198,0.262479,0.344802,0.392719,0.147384,0.0357076,0.0391435,0.00397079,0.0034143
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","DisputeArises",1,0,1,0.5,0.655198,0.262479,1,1,0.551951,0.300331,,,0.147384,,,,,0.0357076,0.0391435,0.007385,0.462326,10.408,9.45213,1000.07,999.341,0.139867,0.0729472,0.105867,0.178815,0.0453817,0.0439205,0,0,0.147384,0.37949,0.0521366,0.0555725,0.032858,0.499999,0,2.6764E-06,0.655198,0.262479,0.344802,0.392719,0.147384,0.0357076,0.0391435,0.00397079,0.0034143
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PFiles",0.6552,0,0.655198,0.683769,1,0.40061,1,1,0.551951,0.300331,,,0.224946,,,,,0.054499,0.059743,0.011272,0.462326,10.6227,9.16382,1000.11,998.995,0.213473,0.111336,0.147547,0.258884,0.0692641,0.0530003,0,0,0.224946,0.37949,0.0795738,0.0848179,0.0501497,0.749094,0,0.210331,1,0.40061,0,0.59939,0.224946,0.054499,0.059743,0.00606044,0.0052111
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","DAnswers",0.2625,0,0.262479,0.439973,1,1,1,1,0.551951,0.300331,,,0.56151,,,,,0.13604,0.14913,0.028136,0.462326,10.2826,9.40892,1000.04,999.274,0.308441,0.237598,0.149926,0.387523,0.132578,0.099542,0,0,0.56151,0.37949,0.198632,0.211722,0.125183,0.414008,0,0.879693,1,1,0,0,0.56151,0.13604,0.14913,0.015128,0.013008
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Litigated",0.2625,0,0.262479,0.439973,1,1,1,1,0.551951,0.300331,,,0.56151,,,,,0.13604,0.14913,0.028136,0.462326,10.2826,9.40892,1000.04,999.274,0.308441,0.237598,0.149926,0.387523,0.132578,0.099542,0,0,0.56151,0.37949,0.198632,0.211722,0.125183,0.414008,0,0.879693,1,1,0,0,0.56151,0.13604,0.14913,0.015128,0.013008
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Not Litigated",0.7375,0,0.737521,0.521363,0.532485,0,1,1,,,,,0,,,,,0,0,0,,10.4526,9.46751,1000.08,999.365,0.0798728,0.0143493,0.0901875,0.104537,0.0143493,0.0241252,0,0,0,,0,0,0,0.530603,0,-0.313073,0.532485,0,0.467515,0.532485,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Settles",0.1474,0,0.147384,0.408625,1,1,1,1,0.334594,0.424387,,,1,,,,,0,0,0,,10.2295,9.47051,1000.04,999.499,0.3,0.206263,0.145838,0.352101,0.0739951,0.0763927,0,0,1,0.37949,0,0,0,0.369722,0,0.400179,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Tried",0.0074,0,0.00738512,0.471512,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.462326,10.1284,9.27158,999.728,997.256,0.6,0.428424,0.126808,0.555233,0.464258,0.221915,0,0,0,,0,0,0,0.453108,0,2.81086,1,1,0,0,0,0,0,0.537674,0.462326
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PWins",0.0034,0,0.00341433,0.690034,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11.15,8.25,1000.17,994.008,0.6,0.926671,0,0.926671,1.00418,0,0,0,0,,0,0,0,0.823329,0,2.79545,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","DWins",0.004,0,0.00397079,0.283613,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.25,10.15,999.35,1000.05,0.6,0,0.235846,0.235846,0,0.412731,0,0,0,,0,0,0,0.134769,0,2.82412,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Abandoned",0.1077,0,0.107709,0.480706,1,1,1,1,0.82551,0.144313,,,0,,,,,0.331519,0.363419,0,,10.3659,9.33405,1000.05,999.105,0.3,0.267391,0.157104,0.424495,0.189997,0.122828,0,0,0,,0.48405,0.51595,0.305062,0.471927,0,1.40343,1,1,0,0,0,0.331519,0.363419,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Rounds1",0.2296,0,0.229621,0.440027,1,1,1,1,0.514164,0.324518,,,0.64186,,,,,0.155507,0.17047,0.032162,0.462326,10.273,9.41735,1000.04,999.294,0.309649,0.211747,0.133891,0.345638,0.093454,0.0749997,0,0,0.64186,0.37949,0.155507,0.17047,0,0.415577,0,0.913098,1,1,0,0,0.64186,0.155507,0.17047,0.0172928,0.0148695
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Truly Liable",0.5,0,0.499999,0.844804,0.98161,0.217337,1,1,0.783605,0.501322,,,0.108983,,,,,0.00535045,0.0698245,0.006693,0.840078,10.7891,9.02904,1000.14,998.8,0.18185,0.0200884,0.211735,0.231824,0.00520212,0.0878411,0,0,0.108983,0.755547,0.0185938,0.0830678,0.0264868,1,0,1.63047E-08,0.98161,0.217337,0.0183896,0.764273,0.108983,0.00535045,0.0698245,0.00107028,0.0056222
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Truly Not Liable",0.5,0,0.500001,0.155196,0.328786,0.30762,1,1,0.388286,0.158328,,,0.185786,,,,,0.0660647,0.00846259,0.008078,0.149353,10.0269,9.87522,999.997,999.882,0.0978842,0.125806,0,0.125806,0.0855612,0,0,0,0.185786,0.158894,0.0856793,0.0280772,0.0392291,0,0,5.33649E-06,0.328786,0.30762,0.671214,0.0211658,0.185786,0.0660647,0.00846259,0.00687128,0.0012064
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","AllCount",3790,0,3790,0.5,2483.2,994.794,3790,3790,0.551951,0.300331,,,558.587,,,,,135.332,148.354,27.9896,221.916,10.408,9.45213,1000.07,999.341,0.139867,0.0729472,0.105867,0.178815,0.0453817,0.0439205,0,0,558.587,0.37949,197.598,210.62,124.532,1895,0,2.6764E-06,2483.2,994.794,1306.8,1488.41,558.587,135.332,148.354,15.0493,12.9403
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Liability Strength1",0.3735,0,0.373454,0.1,0.257507,0.252383,1,1,0.325617,0.135484,,,0.170308,,,,,0.0555556,0.00174857,0.003944,0.0328966,9.99869,9.92364,999.994,999.943,0.0776667,0.0769315,6.4859E-6,0.076938,0.0380617,6.61057E-06,0,0,0.170308,0.130077,0.0659691,0.0121621,0.020827,6.47726E-06,0,3.85116E-06,0.257507,0.252383,0.742493,0.00512377,0.170308,0.0555556,0.00174857,0.00381407,0.0001297
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Liability Strength2",0.1157,0,0.115714,0.3,0.513405,0.463515,1,1,0.471889,0.185159,,,0.233018,,,,,0.100155,0.0218423,0.019152,0.169806,10.082,9.76575,1000,999.748,0.152284,0.236047,0.0023894,0.238437,0.18801,0.00245901,0,0,0.233018,0.205472,0.144828,0.0665158,0.0893471,0.0026013,0,1.04422E-05,0.513405,0.463515,0.486595,0.04989,0.233018,0.100155,0.0218423,0.0159002,0.0032522
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Liability Strength3",0.0217,0,0.0216638,0.5,0.801558,0.549467,1,1,0.622693,0.27425,,,0.217159,,,,,0.066637,0.0943199,0.032377,0.5,10.3929,9.39469,1000.06,999.22,0.212367,0.322784,0.304741,0.627525,0.307615,0.288628,0,0,0.217159,0.395791,0.136124,0.163807,0.138975,0.5,0,2.39283E-06,0.801558,0.549467,0.198442,0.252091,0.217159,0.066637,0.0943199,0.0161884,0.0161884
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Liability Strength4",0.1157,0,0.115714,0.7,0.957068,0.363039,1,1,0.745283,0.411598,,,0.150337,,,,,0.0134447,0.118281,0.016242,0.830194,10.7166,9.08047,1000.13,998.824,0.202889,0.0382097,0.284637,0.322847,0.0135635,0.174009,0,0,0.150337,0.662855,0.0458118,0.150648,0.0647342,0.997399,0,-3.52341E-06,0.957068,0.363039,0.0429317,0.594029,0.150337,0.0134447,0.118281,0.00275797,0.0134839
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","Liability Strength5",0.3735,0,0.373453,0.9,0.9948,0.162476,1,1,0.826573,0.586284,,,0.0929643,,,,,0.000994623,0.0541778,0.002986,0.967103,10.8236,9.00194,1000.15,998.78,0.174487,0.0146969,0.176863,0.19156,0.00315514,0.0461783,0,0,0.0929643,0.827366,0.00667127,0.0598544,0.0113533,0.999994,0,1.03288E-06,0.9948,0.162476,0.00520048,0.832323,0.0929643,0.000994623,0.0541778,9.82412E-5,0.0028881
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PLiabilitySignal1",0.239,0,0.23899,0.129589,0.0152186,0.0149756,1,1,0.1,0.210285,,,0.0149756,,,,,0,0,0,,10.0003,9.99519,1000,999.997,0.00452914,0.0047408,0.0066756,0.0114164,0.0017834,0.00666276,0,0,0.0149756,0.155142,0,0,0,0.0067232,0,-0.64369,0.0152186,0.0149756,0.984781,0.000242966,0.0149756,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PLiabilitySignal2",0.1941,0,0.1941,0.196404,0.436119,0.399925,1,1,0.142681,0.168336,,,0.376998,,,,,0.0134547,0,0,,10.027,9.84764,1000,999.89,0.125407,0.128814,0.0523201,0.181134,0.0564596,0.0490731,0,0,0.376998,0.136452,0.0181911,0.00473643,0.00947285,0.0695523,0,0.12507,0.436119,0.399925,0.563881,0.0361936,0.376998,0.0134547,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PLiabilitySignal3",0.1338,0,0.13382,0.499997,1,0.609225,1,1,0.583398,0.218642,,,0.217373,,,,,0.218575,0,0,,10.4005,9.35815,1000.06,999.289,0.241384,0.203287,0.154703,0.35799,0.151074,0.0969392,0,0,0.217373,0.336081,0.305213,0.0866388,0.173278,0.499995,0,2E-05,1,0.609225,0,0.390775,0.217373,0.218575,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PLiabilitySignal4",0.1941,0,0.1941,0.803596,1,0.27254,1,1,0.826401,0.422798,,,0.101623,,,,,0.0198166,0.085804,0.02495,0.31918,10.7659,9.03571,1000.13,998.791,0.198366,0.0646377,0.18278,0.247418,0.054581,0.0662634,0,0,0.101623,0.810137,0.0399899,0.105977,0.0403467,0.930448,0,-0.12507,1,0.27254,0,0.72746,0.101623,0.0198166,0.085804,0.0169862,0.0079634
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1.5 Moderately Risk Averse Case Strength Noise 0.175","5.684E-14","1566","PLiabilitySignal5",0.239,0,0.23899,0.870411,1,0.196023,1,1,0.9,0.529792,,,0.0912848,,,,,0,0.0940999,0.010638,0.734988,10.8387,8.9787,1000.15,998.715,0.182595,0.0295465,0.158738,0.188284,0.0133299,0.02916,0,0,0.0912848,0.9,0,0.0940999,0,0.993277,0,0.64369,1,0.196023,0,0.803977,0.0912848,0,0.0940999,0.00281923,0.0078189
