"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","All",1,0,1,0.673383,1,1,1,1,0.9,0.418019,,,0.303598,,,,,0,0,0.696402,0.637406,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,0.303598,0.9,0,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.303598,0,0,0.252511,0.443891
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","DisputeArises",1,0,1,0.673383,1,1,1,1,0.9,0.418019,,,0.303598,,,,,0,0,0.696402,0.637406,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,0.303598,0.9,0,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.303598,0,0,0.252511,0.443891
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PFiles",1,0,1,0.673383,1,1,1,1,0.9,0.418019,,,0.303598,,,,,0,0,0.696402,0.637406,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,0.303598,0.9,0,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.303598,0,0,0.252511,0.443891
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","DAnswers",1,0,1,0.673383,1,1,1,1,0.9,0.418019,,,0.303598,,,,,0,0,0.696402,0.637406,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,0.303598,0.9,0,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.303598,0,0,0.252511,0.443891
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Litigated",1,0,1,0.673383,1,1,1,1,0.9,0.418019,,,0.303598,,,,,0,0,0.696402,0.637406,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,0.303598,0.9,0,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.303598,0,0,0.252511,0.443891
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Settles",0.3036,0,0.303598,0.835647,1,1,1,1,0.9,0.9,,,1,,,,,0,0,0,,10.8625,9.0625,10.8625,9.0625,0.075,0.0120899,0.135727,0.147817,0.0113343,0.0186624,0,0,1,0.9,0,0,0,0.987104,0,-0.753799,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Tried",0.6964,0,0.696402,0.602644,1,1,1,1,0.9,0.207898,,,0,,,,,0,0,1,0.637406,10.5727,9.27729,10.5727,9.27729,0.15,0.103637,0.303679,0.407316,0.0422736,0.313268,0,0,0,,0,0,0,0.86203,0,0.328641,1,1,0,0,0,0,0,0.362594,0.637406
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PWins",0.4439,0,0.443891,0.724658,1,1,1,1,0.9,0.241095,,,0,,,,,0,0,1,1,10.9625,8.8875,10.9625,8.8875,0.15,0.15611,0.0358646,0.191974,0.0660783,0.00134492,0,0,0,,0,0,0,0.95639,0,0.447217,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","DWins",0.2525,0,0.252511,0.388154,1,1,1,1,0.9,0.149543,,,0,,,,,0,0,1,0,9.8875,9.9625,9.8875,9.9625,0.15,0.0113942,0.774472,0.785866,0.000427283,0.8616,0,0,0,,0,0,0,0.696154,0,0.120195,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Rounds1",1,0,1,0.673383,1,1,1,1,0.9,0.418019,,,0.303598,,,,,0,0,0.696402,0.637406,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,0.303598,0.9,0,0,0,0.900002,0,1.42533E-05,1,1,0,0,0.303598,0,0,0.252511,0.443891
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Truly Liable",0.9,0,0.900002,0.716727,1,1,1,1,0.9,0.44718,,,0.33298,,,,,0,0,0.66702,0.707178,10.7192,9.15574,10.7192,9.15574,0.125027,0.0530665,0.280765,0.333832,0.00596998,0.248696,0,0,0.33298,0.9,0,0,0,1,0,1.28595E-05,1,1,0,0,0.33298,0,0,0.195318,0.471702
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","Truly Not Liable",0.1,0,0.0999977,0.283278,1,1,1,1,0.9,0.155559,,,0.0391526,,,,,0,0,0.960847,0.201473,10.1338,9.71916,10.1338,9.71916,0.147064,0.280841,0,0.280841,0.275082,0,0,0,0.0391526,0.9,0,0,0,0,0,2.67977E-05,1,1,0,0,0.0391526,0,0,0.767263,0.193585
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 0.5 Risk Neutral Truly Liable Probability 0.9","-8.882000000000001E-16","452","AllCount",550,0,550,0.673383,550,550,550,550,0.9,0.418019,,,166.979,,,,,0,0,383.021,318.703,10.6607,9.21208,10.6607,9.21208,0.12723,0.0758434,0.252689,0.328533,0.0328805,0.223827,0,0,166.979,0.9,0,0,0,495.001,0,1.42533E-05,550,550,0,0,166.979,0,0,138.881,244.14
