"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","All",1,0,1,0.673383,0.950292,0.237861,1,1,0.640533,0.575211,,,0.194757,,,,,0.0281794,0.0103753,0.00455,0.608747,10.5643,9.07657,1000.11,998.889,0.359176,0.076182,0.373982,0.450164,0.0700668,0.204582,0,0,0.194757,0.640988,0.0281794,0.0103753,0,0.900002,0,1.42533E-05,0.950292,0.237861,0.0497078,0.712431,0.194757,0.0281794,0.0103753,0.00178022,0.0027698
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","DisputeArises",1,0,1,0.673383,0.950292,0.237861,1,1,0.640533,0.575211,,,0.194757,,,,,0.0281794,0.0103753,0.00455,0.608747,10.5643,9.07657,1000.11,998.889,0.359176,0.076182,0.373982,0.450164,0.0700668,0.204582,0,0,0.194757,0.640988,0.0281794,0.0103753,0,0.900002,0,1.42533E-05,0.950292,0.237861,0.0497078,0.712431,0.194757,0.0281794,0.0103753,0.00178022,0.0027698
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","PFiles",0.9503,0,0.950292,0.691041,1,0.250304,1,1,0.640533,0.575211,,,0.204944,,,,,0.0296534,0.010918,0.004788,0.608747,10.5938,9.02826,1000.12,998.831,0.377964,0.0801669,0.360557,0.440724,0.0737318,0.182295,0,0,0.204944,0.640988,0.0296534,0.010918,0,0.914092,0,0.0437918,1,0.250304,0,0.749696,0.204944,0.0296534,0.010918,0.00187333,0.0029147
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","DAnswers",0.2379,0,0.237861,0.655919,1,1,1,1,0.640533,0.575211,,,0.818782,,,,,0.11847,0.0436192,0.019129,0.608747,10.2756,9.11292,1000.05,998.9,0.611477,0.0884503,0.611482,0.699932,0.0627413,0.479598,0,0,0.818782,0.640988,0.11847,0.0436192,0,0.888613,0,0.365171,1,1,0,0,0.818782,0.11847,0.0436192,0.00748425,0.0116447
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","Litigated",0.2379,0,0.237861,0.655919,1,1,1,1,0.640533,0.575211,,,0.818782,,,,,0.11847,0.0436192,0.019129,0.608747,10.2756,9.11292,1000.05,998.9,0.611477,0.0884503,0.611482,0.699932,0.0627413,0.479598,0,0,0.818782,0.640988,0.11847,0.0436192,0,0.888613,0,0.365171,1,1,0,0,0.818782,0.11847,0.0436192,0.00748425,0.0116447
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","Not Litigated",0.7621,0,0.762139,0.678834,0.934779,0,1,1,,,,,0,,,,,0,0,0,,10.6543,9.06522,1000.13,998.886,0.280434,0.0723531,0.299859,0.372212,0.0723531,0.11875,0,0,0,,0,0,0,0.903557,0,-0.11395,0.934779,0,0.0652214,0.934779,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","Settles",0.1948,0,0.194757,0.700808,1,1,1,1,0.635439,0.646536,,,1,,,,,0,0,0,,10.341,9.05901,1000.09,998.92,0.6,0.0602166,0.583257,0.643474,0.0467345,0.383401,0,0,1,0.640988,0,0,0,0.915017,0,0.0301914,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","Tried",0.0046,0,0.00455003,0.575403,1,1,1,1,0.75669,0.203478,,,0,,,,,0,0,1,0.608747,10.074,8.726,999.717,994.977,1.2,0.605833,0.769489,1.37532,0.597724,1.18658,0,0,0,,0,0,0,0.888233,0,3.16327,1,1,0,0,0,0,0,0.391253,0.608747
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0.5 Moderately Risk Averse Truly Liable Probability 0.9","0","1591","PWins",0.0028,0,0.00276982,0.654069,1,1,1,1,0.745603,0.228032,,,0,,,,,0,0,1,1,10.7,8.1,1000.14,991.847,1.2,0.957332,0.2828,1.24013,0.970529,0.0848401,0,0,0,,0,0,0,0.942668,0,3.16179,1,1,0,0,0,0,0,0,1
