"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","All",1,0,1,0.499995,0.60154,0.13764,1,1,0.511635,0.393295,,,0.0972969,,,,,0.0280488,0.00157023,0.010724,0.407095,10.2462,9.41797,1000.05,999.309,0.335848,0.156204,0.291991,0.448196,0.147764,0.200548,0,0,0.0972969,0.5,0.0280488,0.00157023,0,0.499994,0,7.5023E-06,0.60154,0.13764,0.39846,0.4639,0.0972969,0.0280488,0.00157023,0.00635847,0.0043658
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","DisputeArises",1,0,1,0.499995,0.60154,0.13764,1,1,0.511635,0.393295,,,0.0972969,,,,,0.0280488,0.00157023,0.010724,0.407095,10.2462,9.41797,1000.05,999.309,0.335848,0.156204,0.291991,0.448196,0.147764,0.200548,0,0,0.0972969,0.5,0.0280488,0.00157023,0,0.499994,0,7.5023E-06,0.60154,0.13764,0.39846,0.4639,0.0972969,0.0280488,0.00157023,0.00635847,0.0043658
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PFiles",0.6015,0,0.60154,0.672305,1,0.228813,1,1,0.511635,0.393295,,,0.161746,,,,,0.0466283,0.00261036,0.017828,0.407095,10.4093,9.03243,1000.08,998.852,0.558314,0.259674,0.371391,0.631064,0.245642,0.219375,0,0,0.161746,0.5,0.0466283,0.00261036,0,0.717174,0,0.324004,1,0.228813,0,0.771187,0.161746,0.0466283,0.00261036,0.0105703,0.0072577
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","DAnswers",0.1376,0,0.13764,0.424466,1,1,1,1,0.511635,0.393295,,,0.706893,,,,,0.203783,0.0114083,0.077915,0.407095,9.93489,9.14174,999.942,998.999,0.923375,0.50292,0.390826,0.893746,0.441597,0.404219,0,0,0.706893,0.5,0.203783,0.0114083,0,0.395896,0,1.56453,1,1,0,0,0.706893,0.203783,0.0114083,0.0461963,0.0317189
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Litigated",0.1376,0,0.13764,0.424466,1,1,1,1,0.511635,0.393295,,,0.706893,,,,,0.203783,0.0114083,0.077915,0.407095,9.93489,9.14174,999.942,998.999,0.923375,0.50292,0.390826,0.893746,0.441597,0.404219,0,0,0.706893,0.5,0.203783,0.0114083,0,0.395896,0,1.56453,1,1,0,0,0.706893,0.203783,0.0114083,0.0461963,0.0317189
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Not Litigated",0.8624,0,0.86236,0.51205,0.537942,0,1,1,,,,,0,,,,,0,0,0,,10.2959,9.46206,1000.07,999.359,0.242074,0.100865,0.276216,0.377082,0.100865,0.16804,0,0,0,,0,0,0,0.516609,0,-0.249703,0.537942,0,0.462058,0.537942,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Settles",0.0973,0,0.0972969,0.466997,1,1,1,1,0.5,0.5,,,1,,,,,0,0,0,,10.05,9.05,1000.02,998.939,0.9,0.520775,0.429225,0.95,0.494736,0.407764,0,0,1,0.5,0,0,0,0.451816,0,1.25991,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Tried",0.0107,0,0.0107243,0.435434,1,1,1,1,0.590766,0.17668,,,0,,,,,0,0,1,0.407095,9.8071,8.9929,999.785,997.956,1.2,0.665732,0.409961,1.07569,0.663431,0.510678,0,0,0,,0,0,0,0.407538,0,3.12544,1,1,0,0,0,0,0,0.592905,0.407095
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PWins",0.0044,0,0.0043658,0.566281,1,1,1,1,0.647108,0.229809,,,0,,,,,0,0,1,1,10.4,8.4,1000.1,995.609,1.2,1.0053,0.356821,1.36212,1.25166,0.214093,0,0,0,,0,0,0,0.594701,0,3.15406,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","DWins",0.0064,0,0.00635847,0.345593,1,1,1,1,0.55208,0.140202,,,0,,,,,0,0,1,0,9.4,9.4,999.567,999.567,1.2,0.432582,0.446448,0.87903,0.259549,0.714317,0,0,0,,0,0,0,0.27903,0,3.10578,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Abandoned",0.0296,0,0.029619,0.280782,1,1,1,1,0.521206,0.121206,,,0,,,,,0.946986,0.0530144,0,,9.60301,9.49699,999.749,999.572,0.9,0.385317,0.257758,0.643075,0.186718,0.354028,0,0,0,,0.946986,0.0530144,0,0.207988,0,2,1,1,0,0,0,0.946986,0.0530144,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Rounds1",0.1376,0,0.13764,0.424466,1,1,1,1,0.511635,0.393295,,,0.706893,,,,,0.203783,0.0114083,0.077915,0.407095,9.93489,9.14174,999.942,998.999,0.923375,0.50292,0.390826,0.893746,0.441597,0.404219,0,0,0.706893,0.5,0.203783,0.0114083,0,0.395896,0,1.56453,1,1,0,0,0.706893,0.203783,0.0114083,0.0461963,0.0317189
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Truly Liable",0.5,0,0.499994,0.716723,0.862828,0.108984,1,1,0.521301,0.442611,,,0.0879216,,,,,0.00972483,0.00259609,0.008741,0.594055,10.416,9.14405,1000.09,998.973,0.439938,0.0042839,0.58399,0.588274,0.0023951,0.4011,0,0,0.0879216,0.5,0.00972483,0.00259609,0,1,0,1.15263E-05,0.862828,0.108984,0.137172,0.753844,0.0879216,0.00972483,0.00259609,0.00354845,0.0051928
"FSA Costs Multiplier 2 Fee Shifting Multiplier 0 Moderately Risk Averse Timing 0.75","4.658E-06","1115","Truly Not Liable",0.5,0,0.500006,0.283273,0.340258,0.166296,1,1,0.505301,0.360976,,,0.106672,,,,,0.0463722,0.000544405,0.012707,0.278491,10.0764,9.69188,1000.01,999.646,0.231762,0.308121,0,0.308121,0.293129,0,0,0,0.106672,0.5,0.0463722,0.000544405,0,0,0,3.4784E-06,0.340258,0.166296,0.659742,0.173962,0.106672,0.0463722,0.000544405,0.00916842,0.0035389
