"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","All",1,0,1,0.499995,0.731632,0.244774,1,1,0.499855,0.444442,,,0.132035,,,,,0.0342803,0.0313563,0.026548,0.394554,10.2644,9.2882,999.998,998.841,0.447347,0.308484,0.311079,0.619563,0.316921,0.245852,0,0,0.132035,0.48274,0.0445572,0.0416333,0.0205539,0.499994,0,7.5023E-06,0.731632,0.244774,0.268368,0.486857,0.132035,0.0342803,0.0313563,0.0160736,0.0104748
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","DisputeArises",1,0,1,0.499995,0.731632,0.244774,1,1,0.499855,0.444442,,,0.132035,,,,,0.0342803,0.0313563,0.026548,0.394554,10.2644,9.2882,999.998,998.841,0.447347,0.308484,0.311079,0.619563,0.316921,0.245852,0,0,0.132035,0.48274,0.0445572,0.0416333,0.0205539,0.499994,0,7.5023E-06,0.731632,0.244774,0.268368,0.486857,0.132035,0.0342803,0.0313563,0.0160736,0.0104748
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","PFiles",0.7316,0,0.731632,0.563199,1,0.33456,1,1,0.499855,0.444442,,,0.180467,,,,,0.0468546,0.0428581,0.036287,0.394554,10.3615,9.02711,999.997,998.416,0.611438,0.421638,0.321446,0.743084,0.43317,0.232293,0,0,0.180467,0.48274,0.0609012,0.0569047,0.0280932,0.579656,0,0.118846,1,0.33456,0,0.66544,0.180467,0.0468546,0.0428581,0.0219695,0.014317
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","DAnswers",0.2448,0,0.244774,0.441981,1,1,1,1,0.499855,0.444442,,,0.539417,,,,,0.140049,0.128103,0.108461,0.394554,9.98643,9.08104,999.745,997.637,0.932538,0.573997,0.374578,0.948575,0.608464,0.430523,0,0,0.539417,0.48274,0.182034,0.170088,0.0839707,0.429872,0,0.408279,1,1,0,0,0.539417,0.140049,0.128103,0.065667,0.0427936
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","Litigated",0.2448,0,0.244774,0.441981,1,1,1,1,0.499855,0.444442,,,0.539417,,,,,0.140049,0.128103,0.108461,0.394554,9.98643,9.08104,999.745,997.637,0.932538,0.573997,0.374578,0.948575,0.608464,0.430523,0,0,0.539417,0.48274,0.182034,0.170088,0.0839707,0.429872,0,0.408279,1,1,0,0,0.539417,0.140049,0.128103,0.065667,0.0427936
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","Not Litigated",0.7552,0,0.755226,0.518798,0.644651,0,1,1,,,,,0,,,,,0,0,0,,10.3546,9.35535,1000.08,999.232,0.290093,0.222429,0.290499,0.512928,0.222429,0.185999,0,0,0,,0,0,0,0.522721,0,-0.132316,0.644651,0,0.355349,0.644651,0,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","Settles",0.132,0,0.132035,0.434919,1,1,1,1,0.381709,0.583772,,,1,,,,,0,0,0,,10.0327,9.06726,999.999,998.894,0.9,0.550236,0.393439,0.943675,0.504253,0.381134,0,0,1,0.48274,0,0,0,0.420882,0,0.256503,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","Tried",0.0265,0,0.0265484,0.41778,1,1,1,1,0.673068,0.249404,,,0,,,,,0,0,1,0.394554,9.60475,9.19525,997.912,989.199,1.2,0.718742,0.319969,1.03871,1.39539,0.799922,0,0,0,,0,0,0,0.395631,0,0.96086,1,1,0,0,0,0,0,0.605446,0.394554
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","PWins",0.0105,0,0.0104748,0.635048,1,1,1,1,0.684836,0.270431,,,0,,,,,0,0,1,1,11.3,7.5,1000.17,972.497,1.2,1.82166,0,1.82166,3.53662,0,0,0,0,,0,0,0,0.678345,0,1.1839,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 2 Fee Shifting Multiplier 1.5 Moderately Risk Averse Timing 0.75","5.684E-14","1683","DWins",0.0161,0,0.0160736,0.276191,1,1,1,1,0.665399,0.235702,,,0,,,,,0,0,1,0,8.5,10.3,996.439,1000.08,1.2,0,0.528485,0.528485,0,1.32121,0,0,0,,0,0,0,0.211394,0,0.81551,1,1,0,0,0,0,0,1,0
