"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","All",1,0,1,0.499995,1,1,1,1,0.546171,0.453817,,,0.779563,,,,,0.0136448,0.0136438,0.193148,0.499997,10.425,9.42501,1000.07,999.344,0.15,0.18037,0.164732,0.345102,0.119558,0.116151,0,0,0.779563,0.499993,0.0136448,0.0136438,0,0.499994,0,7.5023E-06,1,1,0,0,0.779563,0.0136448,0.0136438,0.0965747,0.0965734
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","DisputeArises",1,0,1,0.499995,1,1,1,1,0.546171,0.453817,,,0.779563,,,,,0.0136448,0.0136438,0.193148,0.499997,10.425,9.42501,1000.07,999.344,0.15,0.18037,0.164732,0.345102,0.119558,0.116151,0,0,0.779563,0.499993,0.0136448,0.0136438,0,0.499994,0,7.5023E-06,1,1,0,0,0.779563,0.0136448,0.0136438,0.0965747,0.0965734
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","PFiles",1,0,1,0.499995,1,1,1,1,0.546171,0.453817,,,0.779563,,,,,0.0136448,0.0136438,0.193148,0.499997,10.425,9.42501,1000.07,999.344,0.15,0.18037,0.164732,0.345102,0.119558,0.116151,0,0,0.779563,0.499993,0.0136448,0.0136438,0,0.499994,0,7.5023E-06,1,1,0,0,0.779563,0.0136448,0.0136438,0.0965747,0.0965734
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","DAnswers",1,0,1,0.499995,1,1,1,1,0.546171,0.453817,,,0.779563,,,,,0.0136448,0.0136438,0.193148,0.499997,10.425,9.42501,1000.07,999.344,0.15,0.18037,0.164732,0.345102,0.119558,0.116151,0,0,0.779563,0.499993,0.0136448,0.0136438,0,0.499994,0,7.5023E-06,1,1,0,0,0.779563,0.0136448,0.0136438,0.0965747,0.0965734
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","Litigated",1,0,1,0.499995,1,1,1,1,0.546171,0.453817,,,0.779563,,,,,0.0136448,0.0136438,0.193148,0.499997,10.425,9.42501,1000.07,999.344,0.15,0.18037,0.164732,0.345102,0.119558,0.116151,0,0,0.779563,0.499993,0.0136448,0.0136438,0,0.499994,0,7.5023E-06,1,1,0,0,0.779563,0.0136448,0.0136438,0.0965747,0.0965734
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","Settles",0.7796,0,0.779563,0.499994,1,1,1,1,0.464251,0.535736,,,1,,,,,0,0,0,,10.425,9.42501,1000.08,999.426,0.15,0.157397,0.157396,0.314793,0.0848243,0.0848253,0,0,1,0.499993,0,0,0,0.499993,0,-0.38149,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","Tried",0.1931,0,0.193148,0.499998,1,1,1,1,0.855077,0.144916,,,0,,,,,0,0,1,0.499997,10.425,9.425,1000.03,999.025,0.15,0.269592,0.192439,0.462031,0.253097,0.235737,0,0,0,,0,0,0,0.499997,0,1.36288,1,1,0,0,0,0,0,0.500003,0.499997
"FSA Costs Multiplier 0.25 Fee Shifting Multiplier 2 Moderately Risk Averse Timing 1","2.842E-13","1028","PWins",0.0966,0,0.0965734,0.633511,1,1,1,1,0.874845,0.164682,,,0,,,,,0,0,1,1,11.075,8.775,1000.16,998.024,0.15,0.539187,0,0.539187,0.506197,0,0,0,0,,0,0,0,0.685813,0,1.36287,1,1,0,0,0,0,0,0,1
