"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","All",1,0,1,0.499995,1,1,1,1,0.456899,0.47234,,,0.80411,,,,,0.0890997,0.0839033,0.022887,0.530703,10.4573,9.52895,1000.09,999.539,0.0137323,0.129104,0.160437,0.289541,0.0754214,0.102096,0,0,0.80411,0.457293,0.0890997,0.0839033,0,0.499994,0,7.5023E-06,1,1,0,0,0.80411,0.0890997,0.0839033,0.0107409,0.0121463
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","DisputeArises",1,0,1,0.499995,1,1,1,1,0.456899,0.47234,,,0.80411,,,,,0.0890997,0.0839033,0.022887,0.530703,10.4573,9.52895,1000.09,999.539,0.0137323,0.129104,0.160437,0.289541,0.0754214,0.102096,0,0,0.80411,0.457293,0.0890997,0.0839033,0,0.499994,0,7.5023E-06,1,1,0,0,0.80411,0.0890997,0.0839033,0.0107409,0.0121463
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","PFiles",1,0,1,0.499995,1,1,1,1,0.456899,0.47234,,,0.80411,,,,,0.0890997,0.0839033,0.022887,0.530703,10.4573,9.52895,1000.09,999.539,0.0137323,0.129104,0.160437,0.289541,0.0754214,0.102096,0,0,0.80411,0.457293,0.0890997,0.0839033,0,0.499994,0,7.5023E-06,1,1,0,0,0.80411,0.0890997,0.0839033,0.0107409,0.0121463
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","DAnswers",1,0,1,0.499995,1,1,1,1,0.456899,0.47234,,,0.80411,,,,,0.0890997,0.0839033,0.022887,0.530703,10.4573,9.52895,1000.09,999.539,0.0137323,0.129104,0.160437,0.289541,0.0754214,0.102096,0,0,0.80411,0.457293,0.0890997,0.0839033,0,0.499994,0,7.5023E-06,1,1,0,0,0.80411,0.0890997,0.0839033,0.0107409,0.0121463
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","Litigated",1,0,1,0.499995,1,1,1,1,0.456899,0.47234,,,0.80411,,,,,0.0890997,0.0839033,0.022887,0.530703,10.4573,9.52895,1000.09,999.539,0.0137323,0.129104,0.160437,0.289541,0.0754214,0.102096,0,0,0.80411,0.457293,0.0890997,0.0839033,0,0.499994,0,7.5023E-06,1,1,0,0,0.80411,0.0890997,0.0839033,0.0107409,0.0121463
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","Not Litigated",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","Settles",0.8041,0,0.80411,0.491679,1,1,1,1,0.393277,0.521309,,,1,,,,,0,0,0,,10.4573,9.54271,1000.1,999.618,0,0.126548,0.159319,0.285867,0.057462,0.0820074,0,0,1,0.457293,0,0,0,0.490063,0,-0.367524,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","Tried",0.0229,0,0.0228872,0.521338,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.530703,10.2491,9.15087,999.882,997.67,0.6,0.49267,0.278562,0.771232,0.574398,0.445699,0,0,0,,0,0,0,0.530557,0,2.59518,1,1,0,0,0,0,0,0.469297,0.530703
"FSA Costs Multiplier 1 Fee Shifting Multiplier 1 Moderately Risk Averse Timing 0","5.684E-14","1442","PWins",0.0121,0,0.0121463,0.61784,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11,8.4,1000.16,995.609,0.6,0.928334,0,0.928334,1.08233,0,0,0,0,,0,0,0,0.671666,0,2.6186,1,1,0,0,0,0,0,0,1
