"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","All",1,0,1,0.499995,0.81393,0.81393,1,1,0.691245,0.483109,,,0.573313,,,,,0,0,0.240617,0.499997,10.3378,9.42494,10.3378,9.42494,0.237273,0.174635,0.197746,0.372381,0.153049,0.162427,0,0,0.573313,0.623765,0,0,0,0.499994,0,7.5023E-06,0.81393,0.81393,0.18607,0,0.573313,0,0,0.120309,0.120308
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","DisputeArises",1,0,1,0.499995,0.81393,0.81393,1,1,0.691245,0.483109,,,0.573313,,,,,0,0,0.240617,0.499997,10.3378,9.42494,10.3378,9.42494,0.237273,0.174635,0.197746,0.372381,0.153049,0.162427,0,0,0.573313,0.623765,0,0,0,0.499994,0,7.5023E-06,0.81393,0.81393,0.18607,0,0.573313,0,0,0.120309,0.120308
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PFiles",0.8139,0,0.81393,0.573308,1,1,1,1,0.691245,0.483109,,,0.704376,,,,,0,0,0.295624,0.499997,10.415,9.29348,10.415,9.29348,0.291515,0.214558,0.2189,0.433458,0.188037,0.175508,0,0,0.704376,0.623765,0,0,0,0.590245,0,0.184351,1,1,0,0,0.704376,0,0,0.147813,0.147811
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","DAnswers",0.8139,0,0.81393,0.573308,1,1,1,1,0.691245,0.483109,,,0.704376,,,,,0,0,0.295624,0.499997,10.415,9.29348,10.415,9.29348,0.291515,0.214558,0.2189,0.433458,0.188037,0.175508,0,0,0.704376,0.623765,0,0,0,0.590245,0,0.184351,1,1,0,0,0.704376,0,0,0.147813,0.147811
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Litigated",0.8139,0,0.81393,0.573308,1,1,1,1,0.691245,0.483109,,,0.704376,,,,,0,0,0.295624,0.499997,10.415,9.29348,10.415,9.29348,0.291515,0.214558,0.2189,0.433458,0.188037,0.175508,0,0,0.704376,0.623765,0,0,0,0.590245,0,0.184351,1,1,0,0,0.704376,0,0,0.147813,0.147811
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Not Litigated",0.1861,0,0.18607,0.179301,0,0,1,1,,,,,0,,,,,0,0,0,,10,10,10,10,0,0,0.105207,0.105207,0,0.105207,0,0,0,,0,0,0,0.105207,0,-0.80637,0,0,1,0,0,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Settles",0.5733,0,0.573313,0.604076,1,1,1,1,0.603631,0.643899,,,1,,,,,0,0,0,,10.4738,9.30123,10.4738,9.30123,0.225,0.143705,0.214389,0.358094,0.098167,0.109412,0,0,1,0.623765,0,0,0,0.628122,0,-0.257023,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Tried",0.2406,0,0.240617,0.499998,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0.499997,10.275,9.275,10.275,9.275,0.45,0.383378,0.22965,0.613027,0.402169,0.332992,0,0,0,,0,0,0,0.499997,0,1.236,1,1,0,0,0,0,0,0.500003,0.499997
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PWins",0.1203,0,0.120308,0.631328,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,1,11,8.55,11,8.55,0.45,0.76676,0,0.76676,0.804344,0,0,0,0,,0,0,0,0.68324,0,1.236,1,1,0,0,0,0,0,0,1
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","DWins",0.1203,0,0.120309,0.368669,1,1,1,1,0.9,0.1,,,0,,,,,0,0,1,0,9.55,10,9.55,10,0.45,0,0.459296,0.459296,0,0.665979,0,0,0,,0,0,0,0.316756,0,1.23601,1,1,0,0,0,0,0,1,0
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Abandoned",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Rounds1",0.8139,0,0.81393,0.573308,1,1,1,1,0.691245,0.483109,,,0.704376,,,,,0,0,0.295624,0.499997,10.415,9.29348,10.415,9.29348,0.291515,0.214558,0.2189,0.433458,0.188037,0.175508,0,0,0.704376,0.623765,0,0,0,0.590245,0,0.184351,1,1,0,0,0.704376,0,0,0.147813,0.147811
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary1",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary2",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary3",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary6",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary7",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","PrePrimary10",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 0.5 Fee Shifting Multiplier 1 Risk Neutral Relative Costs 2","8.882000000000001E-16","774","Truly Liable",0.5,0,0.499994,0.716723,0.960848,0.960848,1,1,0.818389,0.644373,,,0.720229,,,,,0,0,0.240619,0.68324,10.6045,9.12517,10.6045,9.12517,0.27033,0.0739801,0.395496,0.469476,0.033291,0.324858,0,0,0.720229,0.808682,0,0,0,1,0,1.15263E-05,0.960848,0.960848,0.0391523,0,0.720229,0,0,0.0762184,0.1644
