"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","All",1,0,1,0.499995,0.8,0.749826,1,1,0.534986,0.456263,,,0.393594,,,,,0.0953194,0.0847344,0.046666,0.553495,10.2974,9.45614,999.999,999.744,0.246474,0.260908,0.306169,0.567077,0.208513,0.271663,0,0,0.393594,0.497709,0.160075,0.14949,0.129511,0.499994,0,7.5023E-06,0.8,0.749826,0.2,0.0501744,0.393594,0.0953194,0.0847344,0.0208367,0.0258295
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","NoDispute",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","DisputeArises",1,0,1,0.499995,0.8,0.749826,1,1,0.534986,0.456263,,,0.393594,,,,,0.0953194,0.0847344,0.046666,0.553495,10.2974,9.45614,999.999,999.744,0.246474,0.260908,0.306169,0.567077,0.208513,0.271663,0,0,0.393594,0.497709,0.160075,0.14949,0.129511,0.499994,0,7.5023E-06,0.8,0.749826,0.2,0.0501744,0.393594,0.0953194,0.0847344,0.0208367,0.0258295
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","PFiles",0.8,0,0.8,0.499995,1,0.937282,1,1,0.534986,0.456263,,,0.491993,,,,,0.119149,0.105918,0.058333,0.553495,10.3717,9.32018,999.998,999.68,0.308092,0.326134,0.257713,0.583847,0.260641,0.21458,0,0,0.491993,0.497709,0.200094,0.186863,0.161889,0.499994,0,7.5023E-06,1,0.937282,0,0.062718,0.491993,0.119149,0.105918,0.0260459,0.0322869
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","DAnswers",0.7498,0,0.749826,0.482588,1,1,1,1,0.534986,0.456263,,,0.524914,,,,,0.127122,0.113006,0.062236,0.553495,10.3397,9.3416,999.998,999.671,0.318671,0.33644,0.266648,0.603088,0.266564,0.227693,0,0,0.524914,0.497709,0.213483,0.199367,0.172722,0.478054,0,0.0327368,1,1,0,0,0.524914,0.127122,0.113006,0.0277887,0.0344474
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","Litigated",0.7498,0,0.749826,0.482588,1,1,1,1,0.534986,0.456263,,,0.524914,,,,,0.127122,0.113006,0.062236,0.553495,10.3397,9.3416,999.998,999.671,0.318671,0.33644,0.266648,0.603088,0.266564,0.227693,0,0,0.524914,0.497709,0.213483,0.199367,0.172722,0.478054,0,0.0327368,1,1,0,0,0.524914,0.127122,0.113006,0.0277887,0.0344474
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","Not Litigated",0.2502,0,0.250174,0.552167,0.200558,0,1,1,,,,,0,,,,,0,0,0,,10.1705,9.79944,1000,999.964,0.0300837,0.0345217,0.424622,0.459143,0.0345217,0.403452,0,0,0,,0,0,0,0.565752,0,-0.098089,0.200558,0,0.799442,0.200558,0,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","Settles",0.3936,0,0.393594,0.466711,1,1,1,1,0.395346,0.600072,,,1,,,,,0,0,0,,10.3477,9.35229,1000,999.94,0.3,0.320969,0.265587,0.586556,0.207863,0.174435,0,0,1,0.497709,0,0,0,0.457587,0,-0.186074,1,1,0,0,1,0,0,0,0
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","Tried",0.0467,0,0.0466662,0.543458,1,1,1,1,0.753134,0.242832,,,0,,,,,0,0,1,0.553495,10.3177,9.08231,999.949,996.291,0.6,0.58077,0.155735,0.736505,0.679679,0.295897,0,0,0,,0,0,0,0.552837,0,0.327281,1,1,0,0,0,0,0,0.446505,0.553495
"FSA Costs Multiplier 1 Fee Shifting Multiplier 2 Highly Risk Averse","2.2739999999999997E-13","1712","PWins",0.0258,0,0.0258295,0.787819,1,1,1,1,0.825742,0.29121,,,0,,,,,0,0,1,1,11.3,8.1,1000,993.298,0.6,1.04928,0,1.04928,1.22798,0,0,0,0,,0,0,0,0.850723,0,0.278693,1,1,0,0,0,0,0,0,1
